ticker,thr,peak_date,trough_date,depth_pct,peak_to_trough_days,recovery_days,runup_pct,days_since_last_peak,vol60_ann,pct_above_sma200,ongoing
GOOG,20,2006-01-11,2006-03-13,28.53,41,156,8.36,,,,False
GOOG,20,2007-11-06,2008-11-24,65.29,265,965,120.08,458,20.9,43.8,False
GOOG,20,2018-07-26,2018-12-24,23.03,104,84,889.03,2698,20.4,17.4,False
GOOG,20,2020-02-19,2020-03-23,30.79,23,76,56.39,393,17.1,22.2,False
GOOG,20,2021-11-18,2022-11-03,44.6,241,306,185.27,443,22.6,19.2,False
GOOG,20,2024-07-10,2024-09-09,22.28,42,66,131.02,661,27.4,27.8,False
GOOG,20,2025-02-04,2025-04-08,29.35,44,95,39.06,143,30.8,18.4,False
GOOG,20,2026-02-02,2026-03-30,20.75,39,19,135.95,249,27.2,46.1,False
GOOG,20,2026-05-13,2026-07-23,20.18,48,,46.09,70,33.5,38.1,True
AAPL,20,2006-01-13,2006-07-14,40.8,125,88,14.5,,,,False
AAPL,20,2007-12-28,2009-01-20,60.87,266,191,294.38,492,44.0,44.7,False
AAPL,20,2012-09-19,2013-04-19,43.8,144,310,801.68,1191,20.7,27.1,False
AAPL,20,2015-05-22,2016-05-12,30.44,245,182,149.23,671,20.7,16.9,False
AAPL,20,2018-10-03,2019-01-03,38.52,62,194,166.81,848,20.6,24.5,False
AAPL,20,2020-02-12,2020-03-23,31.43,27,52,134.13,341,21.5,39.3,False
AAPL,20,2020-09-01,2020-09-18,20.38,12,69,140.29,140,36.2,65.7,False
AAPL,20,2022-01-03,2023-01-05,30.91,253,102,71.7,337,23.6,26.4,False
AAPL,20,2024-12-26,2025-04-08,33.36,69,134,109.36,749,17.6,22.3,False
NVDA,20,2006-05-05,2006-07-14,43.51,48,60,63.68,,35.3,,False
NVDA,20,2006-12-19,2007-03-16,26.74,58,63,119.02,158,45.9,39.0,False
NVDA,20,2007-10-17,2008-11-20,85.08,277,1861,109.21,207,47.0,51.6,False
NVDA,20,2018-10-01,2018-12-24,56.04,58,287,5199.48,2758,25.5,18.9,False
NVDA,20,2020-02-19,2020-03-16,37.55,18,39,148.61,347,30.7,64.0,False
NVDA,20,2021-02-16,2021-03-08,24.38,14,25,212.55,250,33.1,29.2,False
NVDA,20,2021-11-29,2022-10-14,66.34,221,153,188.11,199,45.8,74.1,False
NVDA,20,2024-06-18,2024-08-07,27.05,34,47,1108.63,641,50.1,97.6,False
NVDA,20,2025-01-06,2025-04-04,36.88,61,55,51.1,138,36.8,25.9,False
NVDA,20,2025-10-29,2026-03-30,20.21,103,18,119.56,204,30.6,40.4,False
MSFT,20,2006-01-31,2006-06-13,23.03,92,79,4.88,,,,False
MSFT,20,2007-11-02,2009-03-09,57.94,337,1043,75.3,443,28.0,25.5,False
MSFT,20,2020-02-10,2020-03-16,28.04,24,58,1508.53,3087,16.2,32.7,False
MSFT,20,2021-11-19,2022-11-03,37.15,240,153,157.49,450,19.3,25.7,False
MSFT,20,2024-07-05,2025-04-08,23.73,190,40,121.59,657,19.2,19.6,False
MSFT,20,2025-10-28,2026-06-25,34.5,164,,53.42,330,15.1,18.2,True
TSM,20,2006-05-05,2006-06-13,24.78,26,115,11.49,,24.8,,False
TSM,20,2007-07-17,2008-01-22,31.94,130,94,55.7,300,22.7,14.1,False
TSM,20,2008-06-05,2008-11-20,48.21,118,111,48.94,224,39.7,17.9,False
TSM,20,2009-05-04,2009-06-22,23.31,34,128,102.39,229,56.5,39.2,False
TSM,20,2015-04-27,2015-08-24,23.82,83,133,251.34,1505,26.2,14.6,False
TSM,20,2018-01-22,2018-06-27,20.64,109,50,164.87,690,21.3,24.2,False
TSM,20,2018-09-24,2019-01-03,23.46,69,73,26.42,170,20.3,11.5,False
TSM,20,2020-01-14,2020-03-19,26.55,45,74,83.84,328,20.9,32.8,False
TSM,20,2021-02-16,2021-05-12,22.44,60,171,224.5,274,36.8,65.8,False
TSM,20,2022-01-14,2022-11-03,56.47,202,332,31.56,232,35.0,20.2,False
TSM,20,2024-07-10,2024-08-05,22.56,18,48,227.28,622,35.5,54.2,False
TSM,20,2025-01-23,2025-04-08,36.82,52,54,52.87,135,37.9,28.6,False
TSM,20,2026-06-30,2026-07-29,21.55,20,,242.8,359,45.6,40.2,True
ASML,20,2006-01-27,2006-07-17,21.68,117,56,15.26,,,,False
ASML,20,2007-10-24,2008-11-20,64.12,272,281,86.68,438,33.9,25.9,False
ASML,20,2010-04-13,2010-08-31,31.29,98,70,191.1,620,27.9,20.5,False
ASML,20,2011-03-03,2011-08-08,31.27,109,124,85.28,225,38.3,37.4,False
ASML,20,2013-10-04,2014-05-06,20.07,146,82,202.07,652,18.2,28.6,False
ASML,20,2015-05-28,2016-01-15,31.92,161,247,43.5,413,33.3,11.7,False
