ticker,strategy,CAGR_pct,Vol_pct,Sharpe,MaxDD_pct,PctInvested,Trades
GOOG,BuyHold,18.6,30.1,0.72,-65.3,100.0,0
GOOG,SMA200,14.7,22.7,0.72,-34.3,76.0,58
GOOG,TrailStop15,15.3,24.7,0.7,-45.7,85.0,28
AAPL,BuyHold,27.1,31.7,0.92,-60.9,100.0,0
AAPL,SMA200,23.8,25.2,0.97,-40.8,79.0,42
AAPL,TrailStop15,25.4,25.2,1.02,-54.9,86.0,28
NVDA,BuyHold,38.0,48.9,0.9,-85.1,100.0,0
NVDA,SMA200,40.5,37.7,1.09,-54.2,73.0,43
NVDA,TrailStop15,42.1,38.5,1.1,-55.5,77.0,48
MSFT,BuyHold,17.2,27.9,0.71,-57.9,100.0,0
MSFT,SMA200,11.3,20.4,0.63,-40.2,74.0,72
MSFT,TrailStop15,12.0,23.5,0.6,-56.1,87.0,23
TSM,BuyHold,23.9,33.9,0.8,-56.5,100.0,0
TSM,SMA200,13.6,27.4,0.6,-45.8,77.0,89
TSM,TrailStop15,15.4,28.8,0.64,-50.8,85.0,32
ASML,BuyHold,24.3,37.4,0.77,-64.1,100.0,0
ASML,SMA200,20.2,28.2,0.79,-41.1,75.0,58
ASML,TrailStop15,18.2,30.4,0.7,-47.9,83.0,37
MRVL,BuyHold,11.0,48.8,0.46,-86.5,100.0,0
MRVL,SMA200,6.4,36.1,0.35,-70.4,61.0,76
MRVL,TrailStop15,7.2,38.1,0.37,-70.0,72.0,60
AMD,BuyHold,14.0,58.7,0.51,-96.2,100.0,0
AMD,SMA200,20.5,44.2,0.64,-64.5,58.0,61
AMD,TrailStop15,11.9,44.7,0.47,-89.6,63.0,81
JPM,BuyHold,14.2,36.4,0.54,-68.1,100.0,0
JPM,SMA200,4.2,21.0,0.3,-77.7,72.0,93
JPM,TrailStop15,9.5,27.2,0.47,-66.7,87.0,27
AXP,BuyHold,11.3,35.6,0.48,-83.9,100.0,0
AXP,SMA200,5.9,21.0,0.38,-38.6,70.0,82
AXP,TrailStop15,10.3,26.6,0.5,-60.8,86.0,27
AVGO,BuyHold,41.7,38.2,1.1,-48.3,100.0,0
AVGO,SMA200,23.1,33.1,0.79,-63.1,85.0,79
AVGO,TrailStop15,29.2,32.8,0.94,-38.8,86.0,27
