ticker,signal,n,mean20,base20,edge20,hit20,t_edge20
GOOG,RSI_oversold,51,3.28,1.66,1.62,69.0,1.25
GOOG,RSI_overbought,142,1.47,1.66,-0.19,59.0,-0.28
GOOG,TD_buy9,51,0.56,1.66,-1.09,59.0,-0.96
GOOG,TD_sell9,90,0.97,1.66,-0.68,53.0,-0.9
GOOG,MFI_bulldiv,29,2.72,1.66,1.06,76.0,0.94
GOOG,MFI_beardiv,55,2.56,1.66,0.9,62.0,0.98
AAPL,RSI_oversold,42,0.08,2.24,-2.16,57.0,-1.06
AAPL,RSI_overbought,157,3.31,2.24,1.08,67.0,1.71
AAPL,TD_buy9,57,0.24,2.24,-1.99,49.0,-1.44
AAPL,TD_sell9,114,2.02,2.24,-0.21,61.0,-0.29
AAPL,MFI_bulldiv,26,-0.44,2.24,-2.68,54.0,-1.59
AAPL,MFI_beardiv,52,0.89,2.24,-1.35,63.0,-1.16
NVDA,RSI_oversold,41,-4.92,3.41,-8.33,34.0,-4.04
NVDA,RSI_overbought,129,4.36,3.41,0.95,67.0,0.91
NVDA,TD_buy9,50,1.36,3.41,-2.05,52.0,-0.84
NVDA,TD_sell9,98,4.29,3.41,0.88,60.0,0.7
NVDA,MFI_bulldiv,41,3.61,3.41,0.2,61.0,0.09
NVDA,MFI_beardiv,59,4.83,3.41,1.42,63.0,0.63
MSFT,RSI_oversold,43,3.25,1.32,1.93,65.0,1.73
MSFT,RSI_overbought,136,0.44,1.32,-0.88,54.0,-1.66
MSFT,TD_buy9,48,2.41,1.32,1.09,69.0,1.15
MSFT,TD_sell9,86,0.99,1.32,-0.33,59.0,-0.5
MSFT,MFI_bulldiv,40,0.36,1.32,-0.96,57.0,-0.83
MSFT,MFI_beardiv,61,0.6,1.32,-0.72,54.0,-1.09
TSM,RSI_oversold,39,5.68,1.78,3.9,74.0,2.54
TSM,RSI_overbought,106,0.78,1.78,-1.0,48.0,-1.21
TSM,TD_buy9,50,1.16,1.78,-0.62,54.0,-0.52
TSM,TD_sell9,80,2.09,1.78,0.31,68.0,0.41
TSM,MFI_bulldiv,37,1.51,1.78,-0.27,49.0,-0.17
TSM,MFI_beardiv,74,1.2,1.78,-0.58,65.0,-0.7
ASML,RSI_oversold,40,4.75,1.99,2.76,70.0,1.44
ASML,RSI_overbought,102,1.28,1.99,-0.72,60.0,-1.07
ASML,TD_buy9,56,2.51,1.99,0.51,62.0,0.37
ASML,TD_sell9,91,0.73,1.99,-1.26,59.0,-1.5
ASML,MFI_bulldiv,45,3.21,1.99,1.22,64.0,0.9
ASML,MFI_beardiv,67,2.06,1.99,0.07,57.0,0.06
MRVL,RSI_oversold,55,-0.74,1.54,-2.28,49.0,-1.08
MRVL,RSI_overbought,87,3.61,1.54,2.07,57.0,1.55
MRVL,TD_buy9,57,1.94,1.54,0.4,56.0,0.25
MRVL,TD_sell9,75,1.82,1.54,0.28,60.0,0.25
MRVL,MFI_bulldiv,45,1.41,1.54,-0.13,49.0,-0.06
MRVL,MFI_beardiv,53,2.85,1.54,1.31,62.0,0.9
AMD,RSI_oversold,60,0.32,2.45,-2.13,52.0,-1.08
AMD,RSI_overbought,102,4.22,2.45,1.78,57.0,0.93
AMD,TD_buy9,66,1.51,2.45,-0.93,52.0,-0.41
AMD,TD_sell9,71,4.37,2.45,1.93,58.0,0.82
AMD,MFI_bulldiv,47,0.13,2.45,-2.32,47.0,-0.87
AMD,MFI_beardiv,57,1.72,2.45,-0.73,49.0,-0.34
JPM,RSI_oversold,52,3.97,1.18,2.8,73.0,1.75
JPM,RSI_overbought,101,0.21,1.18,-0.97,52.0,-1.69
JPM,TD_buy9,53,2.05,1.18,0.88,60.0,0.77
JPM,TD_sell9,88,0.48,1.18,-0.7,59.0,-0.92
JPM,MFI_bulldiv,47,2.68,1.18,1.5,64.0,1.16
JPM,MFI_beardiv,64,1.45,1.18,0.27,55.0,0.32
AXP,RSI_oversold,42,3.22,1.11,2.11,74.0,1.23
AXP,RSI_overbought,104,0.47,1.11,-0.64,60.0,-1.04
AXP,TD_buy9,48,2.3,1.11,1.19,69.0,0.83
AXP,TD_sell9,84,0.83,1.11,-0.28,63.0,-0.45
AXP,MFI_bulldiv,53,3.2,1.11,2.09,66.0,1.28
AXP,MFI_beardiv,59,1.28,1.11,0.17,53.0,0.19
AVGO,RSI_oversold,23,10.16,3.02,7.14,87.0,2.21
AVGO,RSI_overbought,102,1.1,3.02,-1.92,61.0,-2.35
AVGO,TD_buy9,36,3.87,3.02,0.84,53.0,0.38
AVGO,TD_sell9,63,2.55,3.02,-0.48,60.0,-0.37
AVGO,MFI_bulldiv,24,4.34,3.02,1.32,67.0,0.65
AVGO,MFI_beardiv,65,1.3,3.02,-1.72,58.0,-1.51
MRNA,RSI_oversold,18,-5.81,3.74,-9.55,39.0,-2.82
MRNA,RSI_overbought,34,5.69,3.74,1.95,56.0,0.47
MRNA,TD_buy9,33,3.29,3.74,-0.45,58.0,-0.13
MRNA,TD_sell9,28,4.53,3.74,0.79,54.0,0.19
MRNA,MFI_bulldiv,20,5.42,3.74,1.68,55.0,0.41
MRNA,MFI_beardiv,17,15.31,3.74,11.58,59.0,1.34
