ticker,BH_CAGR,BH_MaxDD,BH_Sharpe,ICH_CAGR,ICH_MaxDD,ICH_Sharpe,ICH_pct
GOOG,18.3,-65.3,0.71,10.7,-29.8,0.6,58.0
AAPL,25.9,-60.9,0.89,18.2,-31.4,0.89,63.0
NVDA,37.3,-85.1,0.89,26.6,-53.6,0.88,60.0
MSFT,15.3,-59.1,0.65,6.1,-35.7,0.43,58.0
TSM,20.1,-57.1,0.71,9.6,-37.9,0.51,58.0
ASML,22.0,-65.9,0.72,7.2,-45.9,0.4,59.0
MRVL,10.1,-86.5,0.44,9.4,-53.4,0.44,49.0
AMD,13.9,-96.2,0.51,17.4,-65.6,0.61,44.0
JPM,11.3,-70.1,0.47,0.1,-77.5,0.11,58.0
AXP,9.5,-84.3,0.43,2.6,-48.2,0.23,57.0
AVGO,38.7,-48.8,1.05,8.2,-45.2,0.42,66.0
