ticker,close,RSI,MFI,cloud,TK,TDsetup
GOOG,342.88,48.0,42.0,below,bear,buy2
AAPL,319.7,57.0,58.0,above,bear,sell3
NVDA,217.55,52.0,45.0,above,bull,sell2
MSFT,513.53,73.0,56.0,above,bull,sell6
TSM,417.52,50.0,64.0,below,bull,sell4
ASML,1696.16,43.0,45.0,below,bull,buy9
MRVL,216.62,47.0,61.0,below,bull,buy1
AMD,465.58,45.0,52.0,below,bear,sell4
JPM,357.62,55.0,31.0,above,bull,sell3
AXP,333.2,43.0,48.0,in,bull,buy2
AVGO,368.79,43.0,26.0,below,bear,sell2
MRNA,137.99,64.0,64.0,above,bull,buy2
MA,595.3,67.0,56.0,above,bull,buy1
